,_ID,TimeSt,Country,Province,City,Latitude,Longitude,POI,Distance
0,4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123,POI3,593413.4412324522
1,4516547,2017-06-21 18:00:00.193,CA,ON,London,42.9399,-81.2709,POI3,677309.6549572074
2,4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.5776,-80.2201,POI3,569647.7373989127
3,4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.3716,-80.9773,POI3,634733.9960242029
4,4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.3716,-80.9773,POI3,634733.9960242029
5,4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.4381,-80.5099,POI3,597378.7433319694
6,4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.961,-82.373,POI3,756628.2143405341
7,4516831,2017-06-21 12:00:00.950,CA,ON,London,43.0091,-81.1765,POI3,666941.6656643995
8,4516915,2017-06-21 15:00:01.310,CA,ON,London,43.0091,-81.1765,POI3,666941.6656643995
9,4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.4278,-80.5135,POI3,598130.4004974269
10,4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.4381,-80.5099,POI3,597378.7433319694
11,4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.2825,-83.0372,POI3,839239.3067655212
13,4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.243970000000004,-82.98058,POI3,837221.5116755588
14,4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.7792,-81.1927,POI3,680227.8980833034
15,4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.4634,-80.5201,POI3,596931.9139426247
16,4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.4247,-82.1755,POI3,769661.1559032153
17,4517303,2017-06-21 03:00:00.287,CA,ON,Windsor,42.2957,-82.9599,POI3,832955.904477665
18,4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.5425,-80.2676,POI3,574756.5039488518
20,4517349,2017-06-21 14:00:00.420,CA,ON,Chatham,42.4247,-82.1755,POI3,769661.1559032153
21,4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.5215,-80.2338,POI3,573272.8103037382
22,4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.4678,-80.584,POI3,601406.072732324
23,4517518,2017-06-21 21:00:01.333,CA,ON,Waterloo,43.4634,-80.5201,POI3,596931.9139426247
24,4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.4453,-80.4905,POI3,595620.647967634
25,4517607,2017-06-21 01:00:01.623,CA,ON,Chatham,42.4247,-82.1755,POI3,769661.1559032153
26,4517697,2017-06-21 12:00:01.790,CA,ON,Windsor,42.3262,-82.9084,POI3,827613.6272336013
27,4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.4397,-80.434,POI3,591762.7511776319
